id,genus,species
kristensen2019,Salmo,trutta
zupa2021,Oncorhynchus,mykiss
debeffe2013,Capreolus,capreolus
halasz2016,Bos,taurus
eline2023,Sylvilagus,transitionalis
lyons2013a,Antidorcas,marsupialis
fullman2021a,Rangifer,tarandus
gasparinimorato2021,Panthera,onca
deknegt2021,Aepyceros,melampus
harel2016,Gyps,fulvus
jonestodd2022,Mesoplodon,densirostris
farhadinia2020a,Panthera,pardus
mcevoy2015,Anas,superciliosa
wright2021c,Thunnus,albacares
christel2012,Larus,audouinii
spaet2020a,Carcharodon,carcharias
versluijs2022,Canis,lupus
ellis2011,Phascolarctos,cinereus
marchand2015a,Ovis,gmelini
carnahan2021,Ursus,arctos
dalton2016,Meleagris,gallopavo
rosellmoll2021,Sparus,Sparus
northrup2014,Odocoileus,hemionus
goldsworthy2010,Arctocephalus,gazella
fontana2022,Cervus,elaphus
pinaud2007,Diomedea,exulans
monzonarguello2018,Chelonia,mydas
ryan2007,Spheniscus,demersus
cronin2016,Ovis,aries
gremillet2018,Pygoscelis,adeliae
jolivet2015,Tectus,niloticus
arendt2012,Caretta,caretta
santos2020,Milvus,migrans
rosenbaum2014,Megaptera,novaeangliae
sparklin2009,Sus,scrofa
zweifelschielly2009,Cervus,elaphus
vanbeest2012,Alces,alces
lameris2023,Branta,leucopsis
heidejorgensen2017b,Monodon,monoceros
askren2019,Branta,canadensis
sviridova2023,Grus,grus
sokolov2016,Falco,peregrinus
gillich2023,Cervus,elaphus
abalomorla2022,Caretta,caretta
mullen2015,Meles,meles
duerr2012,Aquila,chrysaetos
kleyheeg2017,Anas,platyrhynchos
beatty2016,NA,NA
wearmouth2009,Dipturus,batis
skorupski2022,Lynx,lynx
delcano2021,Spheniscus,magellanicus
crump2019,Bos,taurus
body2015a,Rangifer,tarandus
clapp2022,Puma,concolor
brunet2022,Canis,latrans
harkonen2008,Canis,latrans
clark2017a,Bos,taurus
bugoni2009,Procellaria,conspicillata
thurfjell2017,Cervus,elaphus
evans2020c,Eudyptula,minor
ditmer2020,Alces,alces
lomax2019,Bos,taurus
brushett2023,Ovis,canadensis
park2021,Pygoscelis,adeliae
nourani2018,Butastur,indicus
henry2016,Alopochen,aegyptiaca
nousekmcgregor2014,Eubalaena,glacialis
goldstein2015,Scyllarides,latus
macandza2012,Hippotragus,niger
matley2020,Eretmochelys,imbricata
peckrichardson2018,Phalacrocorax,auritus
mcgregor2020,Felis,catus
kienle2022,Hydrurga,leptonyx
quillfeldt2022,Clangula,hyemalis
carter2023a,Panthera,tigris
nyamuryekunge2021,Bos,taurus
zeller2014,Puma,concolor
monteiro2022,Ovis,aries
wyffels2019,Bos,taurus
dellapenna2015,Mirounga,leonina
williams2022b,Monodon,monoceros
hounslow2023,Natator,depressus
sanchezroman2019,Calonectris,diomedea
clausen2020,Anser,brachyrhynchus
delapuentearevalo2022,Canis,lupus
laidre2012,Megaptera,novaeangliae
hays2014b,Caretta,caretta
thurfjell2014b,Sus,scrofa
muller2020,Megadyptes,antipodes
dixon2017,Falco,cherrug
dragon2010,Mirounga,leonina
fabregas2015,Panthera,tigris
gleiss2011b,Rhincodon,typus
coates2018,Centrocercus,urophasianus
friebe2013,Ursus,arctos
ratsimbazafindranahaka2022,Megaptera,novaeangliae
lerner2013,Xiphias,gladius
whitney2021b,Carcharhinus,plumbeus
grignolio2018,Rupicara,rupicara
vanak2010,Loxodonta,africana
lone2019,Pusa,hispida
naidoo2022,Loxodonta,africana
wijers2022,Panthera,leo
yoda2014,Calonectris,leucomelas
pascoe2016,Mirounga,leonina
thiem2018,Maccullochella,peelii
goetz2018,Aptenodytes,forsteri
rheault2021,Odocoileus,hemionus
muntifering2019,Equus,zebra
planque2020,Halichoerus,grypus
marchand2021a,Emys,orbicularis
thompson2021b,Alces,alces
bett2022,NA,NA
richardson2009,Istiophorus,platypterus
stabach2022,Connochaetes,taurinus
rafiq2020,Panthera,pardus
watanabe2020,Pusa,sibirica
edwards2007,Trichechus,manatus
spitz2018,Ovis,canadensis
hueter2013,Rhincodon,typus
bourouiba2010,Anser,indicus
elliott2017,Alca,torda
meager2009,Gadus,morhua
kirilyuk2021,Canus,lupus
salvin2020,Ovis,ares
flack2018,Ciconia,Ciconia
herfindal2019,Rupicapra,rupicapra
gong2020,Grus,japonensis
nowak2020,Halichoerus,grypus
zrini2021,Salmo,salar
broekhuis2019,Acinonyx,jubatus
amelineau2014,Morus,bassanus
dickie2021,Rangifer,tarandus
brambilla2018,Capra,ibex
bartumeus2010,Puffinus,mauretanicus
williams2016b,Urocitellus,parryii
dickson2022,NA,NA
vacquiegarcia2019,Delphinapterus,leucas
gudka2019,Tetrax,tetrax
fahlman2016,Tursiops,truncatus
bogdanovic2021,Ursus,arctos
curtin2018,Connochaetes,taurinus
tennessen2019,Orcinus,orca
wattles2018,Alces,americanus
wiemers2014,Odocoileus,virginianus
turner2022,Panthera,leo
yiu2022,Panthera,leo
oppel2021,Neophron,percnopterus
jensen2012b,Bos,taurus
rayner2011,Puffinus,carneipes
reed2023a,Phocarctos,hookeri
mohammadi2022,Canis,lupus
woolley2008,Loxodonta,africana
fontes2023,Mobula,alfredi
twynham2021,Ursus,arctos
merkies2016,Equus,ferus
cummings2015,Mirounga,leonina
miguelpacheco2016,Bos,taurus
chilvers2014,Megadyptes,antipodes
lowther2011,Neophoca,cinerea
valeix2009,Panthera,leo
otoole2015,Mirounga,leonina
wilson2023b,Sus,scrofa
papastamatiou2022b,Carcharhinus,longimanus
prude2021,Puma,concolor
lowe2021,Bos,taurus
vanbeest2016b,Ursus,maritimus
zecherle2020,Equus,hemionus
johnson2015b,NA,NA
palstra2021,Sparus,aurata
miguel2017,Panthera,leo
uesaka2022,Calonectris,leucomelas
doi2019,Lepidochelys,olivacea
thometz2016,Enhydra,lutris
allen2018,Canis,familiaris
benoitbird2013b,Callorhinus,ursinus
chambault2019,Caretta,caretta
munozdelgado2018,Ateles,geoffroyi
afan2014,Calonectris,diomedea
okuyama2014,Chelonia,mydas
scoley2019,Bos,taurus
keates2022,Mirounga,angustirostris
hyytiainen2021,Canis,familiaris
james2022,Carcharodon,carcharias
freitas2021,NA,NA
ericsson2015b,Alces,alces
wyckoff2018,Odocoileus,hemionus
jouanneau2022,Larus,argentatus
regular2014,Uria,aalge
gutowsky2014a,Phoebastria,immutabilis
vansteelant2017,Pernis,apivorus
baylis2016,Otaria,flavescens
twardek2021,Oncorhynchus,tshawytscha
augustine2023,Bos,taurus
mccabe2022,Bubo,scandiacus
picardi2019,Capreolus,capreolus
boyers2019,Oryx,gazella
brook2010,Cervus,elaphus
shoji2021,Cerorhinca,monocerata
cunningham2018,Cerorhinca,monocerata
chimienti2022,Pygoscelis,adeliae
williams2017c,Gyps,himalayensis
ajemian2014,Rhinoptera,bonasus
milleret2021,NA,NA
czapanskiy2022,Orcinus,orca
ropertcoudert2007b,Eudyptula,minor
jax2021,Anas,platyrhynchos
tyson2017,Chelonia,mydas
hooven2022,Capreolus,capreolus
patel2015,Caretta,caretta
hussey2018,Somniosus,microcephalus
grecian2018,Morus,bassanus
hoolihan2011,Makaira,nigricans
kennedy2015,Nestor,notabilis
glasby2013,Erinaceus,europaeus
iwata2015,Arctocephalus,gazella
gifford2007,Rhincodon,typus
kropbenesch2013,Capreolus,capreolus
bradshaw2017,Chelonia,mydas
cumming2017,Anas,erythrorhyncha
guzman2017a,NA,NA
demars2013,Rangifer,tarandus
tanoue2012,Lates,japonicus
vanderwal2015,NA,NA
preston2010,Eudyptula,minor
homburger2015,Bos,taurus
klaassen2010,Circus,aeruginosus
ainley2015,Pygoscelis,adeliae
schuler2014,Odocoileus,hemionus
pape2015b,Rangifer,tarandus
lewis2017,NA,NA
forrest2022,NA,NA
shimada2021,NA,NA
winsor2017,Physeter,macrocephalus
goossens2023,Mustelus,asterias
lopezlopez2014,Neophron,percnopterus
chhor2022,Esox,lucius
humphrey2014,NA,NA
wilson2007b,Rhincodon,typus
ullmann2020,Lepus,europaeus
lidgard2012,Halichoerus,grypus
lydersen2012,Balaena,mysticetus
lavender2022b,Dipturus,intermedius
mcmahon2008,NA,NA
barry2020,Canis,lupus
shorter2017,Tursiops,truncatus
palencia2019,Sus,scrofa
eisenring2022,Caprimulgus,europaeus
hooijmeijer2013,Limosa,limosa
shipley2017b,Squalus,cubensis
zengeya2015,Bos,taurus
peris2020,Sus,scrofa
fukuoka2016,Chelonia,mydas
burger2019,Gavia,stellata
owensmith2007,Hippotragus,niger
chakravarty2019b,Suricata,suricatta
farhadinia2020b,Panthera,pardus
thomson2017,Chelonia,mydas
rone2022,Grampus,griseus
lydersen2007,Monodon,monoceros
lyons2013c,Sepia,officinalis
paun2022,Connochaetes,taurinus
daunt2014,Phalacrocorax,aristotelis
blanchet2018,Pagophilus,groenlandicus
shimada2017,Chelonia,mydas
thums2017,Natator,depressus
walton2021a,Vulpes,vulpes
liu2019a,Carcharodon,carcharias
namgail2014,Anas,querquedula
delarosa2019,Bos,taurus
chakravarty2020,Suricata,suricatta
russell2012,Bos,taurus
wilkinson2019,Pelecanus,occidentalis
zhang2014,Ailuropoda,melanoleuca
wasserlauf2023,Caprimulgus,aegyptius
weng2008,Lamna,ditropis
clark2015,Ursus,americanus
harel2021,Papio,anubis
terletzky2016,Bison,bison
karnovsky2011,Alle,alle
law2023,Phascolarctos,cinereus
thomas2021b,Bison,bison
cheng2013,Chelonia,mydas
vaniaer2015,Bos,taurus
laforge2015,Odocoileus,virginianus
keates2020,Mirounga,angustirostris
hill2017,Eretmochelys,imbricata
uherkoch2021,Anser,canagicus
hall2016,Felis,catus
thiebot2014,Diomedea,amsterdamensis
haus2020,Odocoileus,virginianus
welbergen2020,Pteropus,alecto
willisnorton2015,Dermochelys,coriacea
hennig2021,Equus,ferus
leandribreton2021,Rissa,tridactyla
johnson2017b,Asio,flammeus
wells2014,Oreamnos,americanus
koyama2021,Calonectris,leucomelas
virens2018,Oligosoma,otagense
watanabe2013b,Pygoscelis,adeliae
desbiez2021,Priodontes,maximus
lee2009,Bos,taurus
jin2022a,Ovis,aries
yamaguchi2012a,Anas,acuta
ledoux2023,Bos,taurus
viana2018,Capra,pyrenaica
guan2013,Budorcas,taxicolor
vandeurs2017,Esox,lucius
humphries2012,Diomedea,exulans
hertel2019,Ursus,arctos
johnson2016b,Bos,taurus
jones2015,Halichoerus,grypus
khosravifard2018,Gyps,fulvus
hussain2022,Panthera,tigris
kozak2016,Gallus,gallus
thompson2012,Rangifer,tarandus
jennings2021,Ardea,alba
humphries2017,Raja,brachyura
karppinen2022,Canis,lupus
ditmer2018b,Canis,lupus
knolle2017,Oves,aries
choi2017,Pygoscelis,papua
hounslow2019,Negaprion,brevirostris
hvas2021,Salmo,salar
weng2009,Thunnus,albacares
hart2013,Chelonia,mydas
laubscher2015,Connochaetes,taurinus
hammond2016,Tamias,alpinus
uribemartinez2021,Eretmochelys,imbricata
juvaste2017,Larus,fuscus
hoffmayer2021,Rhincodon,typus
watanabe2019b,Carcharodon,carcharias
li2022a,Elaphurus,davidianus
wakefield2011,Thalassarche,melanophrys
kennedy2014a,Megaptera,novaeangliae
kanaji2022,Tursiops,truncatus
krause2016,Hydrurga,leptonyx
hewitt2022,Ziphius,cavirostris
hall2019,Gymnogyps,californianus
krofel2017,Ursus,arctos
halsey2010,Bufo,marinus
thurfjell2015,Sus,scrofa
howes2020,Pernis,apivorus
holdgate2016,Loxodonta,africana
thomas2022,Bison,bison
zhang2022a,Urocyon,littoralis
thompson2013,Rattus,norvegicus
grossbacher2020,Bos,taurus
jeglinski2013,Zalophus,wollebaeki
henley2023,Loxodonta,africana
korpela2020,Calonectris,leucomelas
ironside2017a,Puma,concolor
hirakawa2018,Calonectris,leucomelas
vaudo2017,Isurus,oxyrinchus
ndlovu2013,Alopochen,aegyptiaca
owensmith2017,Connochaetes,taurinus
sur2023,Gymnogyps,californianus
veldkamp2023,Sus,scrofa
lee2014a,Callorhinus,ursinus
hulthen2015,Rutilus,rutilus
kour2021b,Bos,taurus
zoghby2016,Bucorvus,leadbeateri
trondrud2021b,Rangifer,tarandus
wijers2018,Panthera,leo
ismail2012,Mycteria,cinerea
davis2014,Cephalorhynchus,heavisidii
thompson2018,Balaenoptera,physalus
ware2015,Ursus,maritimus
hernando2021,Ursus,arctos
hjelmstedt2020,Oncorhynchus,mykiss
yoda2007,Sula,leucogaster
lagerquist2008,Megaptera,novaeangliae
herr2022,Balaenoptera,physalus
chen2018,Anguilla,japonica
adachi2023,Mirounga,angustirostris
addis2009,Thunnus,thynnus
akamatsu2010,Neophocaena,phocaenoides
albright2017,NA,NA
allan2019,Trichosurus,cunninghami
andrews2015,Felis,catus
ankernilssen2009,Fratercula,arctica
ariasdelrazo2012,Canis,latrans
cheleuittenieves2018,Bos,taurus
asada2021,Dermochelys,coriacea
atickem2014,Tragelaphus,buxtoni
avgar2013,Rangifer,tarandus
awkerman2014,Phoebastria,irrorata
chimienti2016,Uria,aalge
bailleul2007,Mirounga,leonina
bailleul2012,Delphinapterus,leucas
bailleul2015,Mirounga,leonina
balasso2023,NA,NA
bartlett2022,Equus,caballus
bastillerousseau2020,Loxodonta,africana
bateman2017,Bettongia,penicillata
beatty2014,Anas,platyrhynchos
beaulieu2010,Pygocelis,adeliae
beckmann2012,Antilocapra,americana
bengsen2014,Vulpes,vulpes
chinn2023,Sus,scrofa
bergergeiger2022,Circus,pygargus
berlincourt2015,Puffinus,tenuirostris
biddlecombe2020,Ursus,maritimus
bischof2012,Cervus,elaphus
coelho2007,Chrysocyon,brachyrus
blackburn2019,Saxicola,rubetra
collins2016,Rissa,tridactyla
blanchet2016,Phoca,vitulina
bleisch2017,Cervus,elephus
krone2009,Haliaeetus,albicilla
enstipp2021,Aptenodytes,patagonicus
klaassen2012,Larus,fuscus
wiskirchen2017,Odocoileus,virginianus
verhelst2022,Anguilla,anguilla
lopez2019,Balaenoptera,physalus
shipley2017a,Carcharhinus,perezi
costantini2017,Cephalopachus,bancanus
mcgowan2022,Acinonyx,jubatus
martiskainen2009,NA,NA
schafer2020,Anser,albifrons
cade2020,Rhincodon,typus
bryan2021,Gadus,macrocephalus
bastillerousseau2016a,Chelonodis,sp.
wideman2013,Rattus,norvegicus
hance2021,Pekania,pennanti
papailiou2008,Macaca,mulatta
mertzanis2008,Ursus,arctos
rogers2017,Galeorhinus,galeus
schieltz2017,Bos,primigenius
morelle2017,Sus,scrofa
citta2012,Balaena,mysticetus
stoner2018,Odocoileus,hemionus
desantis2020,Crotalus,atrox
miura2022,Ursus,thibetanus
isbell2019,Papio,anubis
rojanodonate2018,Phocoena,phocoena
boiko2019,Cygnus,cygnus
liu2015,NA,NA
roshier2008a,Anas,gracilis
bastillerousseau2021,Loxodonta,africana
lai2015,Vulpes,lagopus
nordstrom2013a,Callorhinus,ursinus
debruyn2009,Arctocephalus,tropicalis
coxen2017,Patagioenas,fasciata
putfarken2008,Bos,taurus
dietz2020,Orcinus,orca
stiegler2022,Lepus,europaeus
bindoff2018,Ardenna,tenuirostris
broell2016,Gadus,morhua
smith2019,Chelonia,mydas
balland2020,Osphranter,robustus
arkumarev2020,Gyps,fulvus
bernich2022,Pogona,vitticeps
lima2017,NA,NA
spiegel2015a,Tiliqua,rugosa
martin2020,Martes,caurina
eisaguirre2019,Aquila,chrysaetos
hoffman2019,NA,NA
parsons2021,Ursus,arctos
papastamatiou2015b,Pristis,pectinata
knight2018,NA,NA
tomkins2009,NA,NA
ely2016,Cygnus,columbianus
hyrenbach2017,Phoebastria,nigripes
otoole2014a,Mirounga,leonina
kobler2008,Esox,lucius
catry2023,Chelonia,mydas
attias2020,Tolypeutes,matacus
nilsson2022,Anser,anser
weingarth2012,Lynx,lynx
cunningham2022a,Pelecanus,erythrorhynchos
pina2021,NA,NA
kokubun2013,Pygoscelis,antarcticus
bailleul2008,Mirounga,leonina
guttridge2017,Sphyrna,mokarran
wilson2015a,Thunnus,thynnus
brivio2016,Rupicapra,rupicapra
pokrovsky2021,Buteo,lagopus
deacon2017,Giraffa,camelopardalis
clydebrockway2019,Chelonia,mydas
hart2020a,Giraffa,angolensis
otoole2012,Sphyraena,barracuda
wilson2013a,Onocorhynchus,nerka
willener2015b,Aptenodytes,patagonicus
chudzinska2016,Anser,brachyrhynchus
barreto2022,Bos,indicus
gunner2021a,Caretta,caretta
bertassoni2017,Myrmecophaga,tridactyla
machovskycapuska2018,Morus,serrator
cullen2013,Panthera,onca
robinson2021a,Eretmochelys,imbricata
huckstadt2012,Mirounga,leonina
taubmann2021,Tetrao,urogallus
ballard2020,Canis,familiaris
bolduc2022,NA,NA
wang2018,Cygnus,columbianus
birkett2012,Loxodonta,africana
rouyer2019,Thunnus,thynnus
boltunov2021,Odobenus,rosmarus
nathan2012,Gyps,fulvus
conegliano2022,NA,NA
sato2007,Physeter,macrocephalus
rubio2008,NA,NA
tarugara2021,Panthera,pardus
hammerschlag2015,Galeocerdo,cuvier
takahashi2021,Oncorhynchus,mykiss
hammerschlag2012,Galeocerdo,cuvier
klappstein2020,Ursus,maritimus
dolton2020,Cetorhinus,maximus
staniland2012,Arctocephalus,gazella
latham2020,Notamacropus,rufogriseus
passos2010,Calonectris,diomedea
tepfer2017,NA,NA
bai2020,Ailuropoda,melanoleuca
loftus2022,Papio,anubis
dunphy2015,Pelecanoides,urinatrix
stravogianni2022,NA,NA
alados2022,Ovis,aries
colchero2011,Panthera,onca
griffiths2018,Gadus,morhua
thorburn2015,Squalus,acanthias
chapple2021,Carcharodon,carcharias
leblond2013,Rangifer,tarandus
hilmer2010,Felis,catus
francke2013,Chelonia,mydas
clapp2015,Ovis,canadensis
cheraghi2019,Acinonyx,jubatus
francis2015,Carcharodon,carcharias
potapov2014,Odocoileus,virginianus
lesage2017,Balaenoptera,musculus
stark2019,Macaca,fascicularis
higaki2022,NA,NA
stieglitz2017,Lobatus,gigas
byrom2015,Trichosurus,vulpecula
ganz2022,Odocoileus,hemionus
chang2018a,Bubo,scandiacus
roberts2022,Caretta,caretta
smit2022,Felis,catus
uenishi2021,NA,NA
wijers2021a,Panthera,leo
spiegel2018,Tiliqua,rugosa
bear2012,Bos,taurus
dean2013,Puffinus,puffinus
aoki2023,NA,NA
stothart2016,Phalacrocorax,pelagicus
ostnes2019,Pandion,haliaetus
campbell2013b,Crocodylus,porosus
delagarde2015,NA,NA
ndungu2021,NA,NA
weimerskirch2007,NA,NA
linsky2020,Balaenoptera,bonaerensis
robinson2014,Aethia,cristatella
boom2023,Branta,leucopsis
bose2017,Odocoileus,hemionus
bouyoucos2018,Negaprion,brevirostris
branco2019,Loxodonta,africana
breed2017,Orcinus,orca
bridge2014,Anas,penelope
brijs2018,Oncorhynchus,mykiss
brijs2019b,Oncorhynchus,mykiss
brissoncuradeau2019,Uria,lomvia
brooks2008,Equus,burcheli
brown2021,Bubo,scandiacus
brownscombe2017a,Albula,vulpes
brun2021,Ursus,maritinus
burnside2021b,Chlamydotis,macqueenii
byrne2014b,Odocoileus,virginianus
cain2012,Hippotragus,niger
campbell2019,NA,NA
campbell2023,NA,NA
cappelle2011,Anas,quequedula
murchie2011,Albula,vulpes
nero2013,Lepidochelys,kempii
nisi2022,Panthera,leo
okuyama2020,Chelonia,mydas
orange2021,Odocoileus,virginianus
schwarz2022,Zalophus,wollebaeki
stabach2020,Oryx,dammah
swain2008,Bos,taurus
thiebot2013,Eudyptes,chrysolophus
mcgavin2018,Bos,taurus
lindstrom2016,Gallinago,media
madden2022,Phaethon,aethereus
mcduie2021,Anas,acuta
miller2016a,Aquila,chrysaetos
myers2018,Ursus,americanus
marchand2017b,Alpine,ibex
mackay2014,Bos,taurus
muleropazmany2015,Bos,taurus
modest2021,Megaptera,novaeangliae
lyons2013b,Homarus,americanus
milakovic2012,Ursus,arctos
monti2023,Coracias,garrulus
milotic2020,Circus,aeruginosus
meier2015,Puffinus,mauretanicus
mcgregor2016b,Felis,catus
shuert2022,NA,NA
vanderkolk2022a,NA,NA
ripperger2019,Nyctalus,noctula
eckert2008,Caretta,caretta
waite2012,Eumetopias,jubatus
vardanis2011,NA,NA
hart2012a,Caretta,caretta
pape2015a,Rangifer,tarandus tarandus
lander2011,Eumetopias,jubatus
pricerees2014,Tiliqua,multifasciata
kranstauber2019,NA,NA
heard2008,Ursus,arctos
moreau2009,Capra,aegagrus
lethbridge2010,Camelus,dromedarius
eriksen2011,Canis,lupus
wilkinson2019,Pelecanus,occidentalis carolinensis
literak2022,Milvus,milvus
hart2018a,Lepidochelys,kempi
jensen2020,Rachycentron,canadum
seward2021,Sterna,paradisaea
cox2020,Mirounga,leonina
michelangeli2022,Tiliqua,rugosa
lok2023,Platalea,leucorodia
barr2021,Eretmochelys,imbricata
schulte2021,Ursus,arctos
soloveva2016,Phoca,largha
palmer2023,Pseudorca,crassidens
hagihara2011,Dugong,dugon
krofel2013,Lynx,lynx
revelles2007a,Caretta,caretta
nakamura2014,Mola,mola
reynolds2017,Rhincodon,typus
dyson2020,Anas,platyrhynchos
lush2016,Lepus,europaeus
chiang2013,Istiophorus,platypterus
jansen2019,Caracal,caracal
spiessberger2023,Bufotes,viridis
solovyeva2019,Phoca,largha
franks2021,Carcharodon,carcharias
ericsson2015a,NA,NA
pagano2019,Ursus,maritimus
karl2019,Bos,taurus
munden2021,Capra,aegagrus
alvarenga2016a,Ovis,aries
augermethe2017,NA,NA
bestley2008,Thunnus,maccoyii
wearmouth2013,Sepia,officinalis
yamazaki2008,Ursus,thibetanus
severson2019,Centrocercus,urophasianus
svoboda2013,Lynx,rufus
saddler2017,Balaenoptera,musculus
savard2013,NA,NA
bubley2020,Istiophorus,platypterus
perle2020,Coryphaena,hippurus
carter2019,Ninox,strenua
roshier2008b,Anas,gracilis
genin2015,Mirounga,leonina
wilson2023a,Sus,scrofa
cones2022,Loligo,forbesii
potts2014,NA,NA
barnes2016,Carcharhinus,plumbeus
chilvers2011,Phocarctos,hookeri
campbell2021,Bubalus,bubalis
attias2018,Euphractus,sexcinctus
gara2017a,Loxodonta,africana
graham2016,Carcharhinus,leucas
hays2008,Chrysaora,hysoscella
lauriano2020,Orcinus,orca
skov2008,Morus,bassanus
garciajimenez2020a,Gypaetus,barbatus
lesmerises2013,Rangifer,tarandus
strandberg2009b,Falco,subbuteo
conring2019,Antigone,canadensis
hildebrandt2021,Equus,caballus
owensmith2013a,Hippotragus,niger
umstatter2015,Bos,taurus
cheleuittenieves2020,Bos,taurus
he2018a,Ailuropoda,melanoleuca
senko2010,Chelonia,mydas
wright2021b,Euphagus,carolinus
boughton2019,Sus,scrofa
papastamatiou2022a,Carcharodon,carcharias
weng2007,Carcharodon,carcharias
kamminga2019,Equus,caballus
wehner2022,Geronticus,eremita
oleary2020,Bos,taurus
baylis2018,Arctocephalus,australis
bastillerousseau2019a,Loxodonta,africana
fuller2023,Aptenodytes,patagonicus
ditmer2018a,Ursus,americanus
fischer2021a,Wallabia,bicolor
stillfried2017,Sus,scrofa
campbell2013a,Canis,lupus
mansson2011,Alces,alces
arts2022,Spilogale,putorius
cloyed2021b,Tursiops,truncatus
olnes2020a,Erignathus,barbatus
mirski2021b,Accipiter,gentilis
starke2015,NA,NA
graves2022,Cervus,canadensis
vonbank2023,Anser,albifrons
hays2014a,Caretta,caretta
schaibraun2014a,Lepus,europaeus
horsmon2016,Oryctolagus,cuniculus
antolos2017,Phoebastria,immutabilis
seminoff2020,Chelonia,mydas
westhoff2016,Micropterus,dolomieu
lai2017,Vulpes,lagopus
focardi2014,Calonectris,diomedea
martin2021,Martes,caurina
leighty2008,Loxodonta,africana
munn2013,Macropus,rufus
bonnetlebrun2021,NA,NA
murphy2017a,Pezoporuso,occidentalis
forester2007,Cervus,elaphus
peklova2012,Reinhardtius,hippoglossoides
schmeling2021,Bos,taurus
maciastorres2022,Lanius,collurio
simmons2023,Felis,catus
mayer2021a,Lepus,europaeus
english2023,Canis,lupus
jeantet2018,Caretta,caretta
howard2021,Sula,granti
shanahan2007,Oryctolagus,cuniculus
plot2015,Lepidochelys,olivacea
johansson2015,Panthera,uncia
andersen2020,Sarcophilus,harrisii
bruno2015,Canis,lupus
ziolkowska2016,Ursus,arctos
otoole2014b,Mirounga,leonina
gleiss2009b,Rhincodon,typus
gregersen2023,Canis,lupus
pagano2020,Ursus,maritimus
melvillesmith2009,Panulirus,cygnus
grigg2009,Phoca,vitulina
strandberg2008,Circus,aeruginosus
rodriguezruiz2014,Coracias,garrulus
williams2012b,Odocoileus,virginianus
gehrold2014,Anas,strepera
kerstetter2009,Tetrapturus,pfluegeri
dalton2014,Callorhinus,ursinus
gulka2023,Morus,bassanus
lamont2018,Caretta,caretta
frankish2022,Thalassarche,chrysostoma
hammerschlag2022,Galeocerdo,cuvier
innis2010,Dermochelys,coriacea
langley2018,Leptonychotes,weddellii
brewster2018,Negaprion,brevirostris
zong2023,Cervus,elaphus
schork2023,Canis,lupus
colman2015,Rangifer,tarandus
singh2014,Alces,alces
rey2015,Oryctolagus,cuniculus
crossin2012,Eudyptes,chrysolophus
bennison2022,Morus,bassanus
cooper2015,Canis,latrans
hamilton2021b,Pusa,hispida
menchetti2022,Canis,lupus
harmse2023,Ovis,aries
thomas2021a,Bos,taurus
watanabe2014,Pygoscelis,adeliae
georgopoulou2023,Pelecanus,crispus
konig2023,Bos,taurus
liddell2020,Ovis,aries
benson2015b,Canis,lupus
mccabe2021b,Bubo,scandiacus
hinton2022,Canis,latrans
probo2013,Bos,taurus
boehme2016,Leptonychotes,weddellii
bartlambrooks2013b,Equus,burchelli
wyffels2020,Bos,taurus
garrote2021,Lynx,pardinus
marquezferrando2018,Limosa,limosa
hart2016b,Chelonia,mydas
lavelle2014,Odocoileus,virginianus
adachi2021,Mirounga,angustirostris
lubaba2015,Bos,taurus
vehkaoja2022,Canis,lupus
wang2023a,Ailuropoda,melanoleuca
lescroel2021,Pygoscelis,adeliae
dwinnell2019,Odocoileus,hemionus
siegford2016,Gallus,gallus
valerio2021,Bos,taurus
loarie2009a,Loxodonta,africana
ricard2020,Equus,caballus
hasler2012,Oncorhynchus,tshawytscha
stokesbury2011,Thunnus,thynnus
cole2021,Zalophus,californianus
andrzejaczek2018,Carcharhinus,longimanus
moralesgonzalez2019,Suricata,suricatta
weng2022,Canis,lupus
benson2021,Puma,concolor
graesli2020b,Alces,alces
bonnot2018,Capreolus,capreolus
riga2022,Cervus,elaphus
branco2020,Loxodonta,africana
curtis2012,Cancer,magister
schweiger2015,Rupicapra,rupicapra
alonso2021,Chlamydotis,undulata
young2019,Lynx,rufus
strauss2022,Parus,major
tsalyuk2019,Loxodonta,africana
wiggins2010,Thylogale,billardierii
sergio2019a,Milvus,migrans
leblanc2016,Gallus,gallus
kroesen2020,Oreamnos,americanus
burkholder2022,NA,NA
wrotek2020,NA,NA
vanlaer2015,Bos,taurus
lewis2011b,Ursus,americanus
parker2019,Felis,catus
thompson2021c,Canis,latrans
rotics2017,Ciconia,ciconia
meade2015,Hydrurga,leptonyx
sanders2020,Sus,scrofa
mcdonald2009,NA,NA
zhang2018b,NA,NA
gilbert2016,Ciconia,ciconia
gandra2015,Patella,depressa
botha2019,Connochaetes,gnu
delgadogonzalez2022,Gyps,fulvus
derville2018,Megaptera,novaeangliae
fortin2009,Bison,bison
walton2017,Vulpes,vulpes
cecere2020,Falco,naumanni
parsons2008b,Equus,caballus
strailey2021,Micropterus,dolomieu
mcintyre2011c,Mirounga,leonina
harvey2008,Halichoerus,grypus
xia2023,Larus,crassirostris
vanderkolk2020a,Haematopus,ostralegus
rodriguez2009,Falco,naumanni
dombroski2021,Eubalaena,glacialis
loarie2009b,Loxodonta,africana
merkel2016,Thalassarche,melanophris
reed2023b,Coregonus,clupeaformis
buderman2023,NA,NA
simon2019,NA,NA
