assigned_to,id,doi_link,manuscript_type,novel_biologging,biologging_context,external_data,device_cat,genus,species,habitat,more_species,biologging_availability,conserv*,note,authors,title,source,year,volume,issue,doi,pub_type,source_sheet,access?,reviewed
mfc,downs2012,doi.org/10.1016/j.ecolmodel.2011.11.010,M,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downs, JA; Heller, JH; Loraamm, R; Stein, DO; McDaniel, C; Onorato, D",Accuracy of home range estimators for homogeneous and inhomogeneous point patterns,ECOLOGICAL MODELLING,2012,225,NA,10.1016/j.ecolmodel.2011.11.010,J,mfc,NA,TRUE
mfc,beirne2021,doi.org/10.1038/s41598-021-91627-z,S,TRUE,W,Y,L,Loxodonta,cyclotis,T,N,N,Y,NA,"Beirne, C; Houslay, TM; Morkel, P; Clark, CJ; Fay, M; Okouyi, J; White, LJT; Poulsen, JR",African forest elephant movements depend on time scale and individual behavior,SCIENTIFIC REPORTS,2021,11,1,10.1038/s41598-021-91627-z,J,mfc,NA,TRUE
mfc,aini2015,doi.org/NA,S,TRUE,W,Y,L,Elaphas,maximas,T,N,N,Y,NA,"Aini, S; Sood, AM; Saaban, S","Analysing Elephant Habitat Parameters using GIS, Remote Sensing and Analytic Hierarchy Process in Peninsular Malaysia",PERTANIKA JOURNAL OF SCIENCE AND TECHNOLOGY,2015,23,1,NA,J,mfc,NA,TRUE
mfc,burke2020,doi.org/10.1186/s40317-020-00222-y,S,TRUE,W,NA,LE,Pristiophorus,cirratus,M,N,Y,Y,NA,"Burke, PJ; Mourier, J; Gaston, TF; Williamson, JE",Novel use of pop-up satellite archival telemetry in sawsharks: insights into the movement of the common sawshark Pristiophorus cirratus (Pristiophoridae),ANIMAL BIOTELEMETRY,2020,8,1,10.1186/s40317-020-00222-y,J,mfc,NA,TRUE
mfc,lecomte2010,doi.org/10.1073/pnas.0911181107,S,TRUE,W,N,L,Diomedea,exulans,M,N,N,N,NA,"Lecomte, VJ; Sorci, G; Cornet, S; Jaeger, A; Faivre, B; Arnoux, E; Gaillard, M; Trouve, C; Besson, D; Chastel, O; Weimerskirch, H",Patterns of aging in the long-lived wandering albatross,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2010,107,14,10.1073/pnas.0911181107,J,mfc,NA,TRUE
mfc,elliott2015,doi.org/10.1007/s00244-015-0188-x,U,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earlier biologging studies guided study design, but not a biologging study","Elliott, JE; Kirk, DA; Elliott, KH; Dorzinsky, J; Lee, S; Inzunza, ER; Cheng, KMT; Scheuhammer, T; Shaw, P",Mercury in Forage Fish from Mexico and Central America: Implications for Fish-Eating Birds,ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,2015,69,4,10.1007/s00244-015-0188-x,J,mfc,NA,TRUE
mfc,bosch2020,doi.org/10.1371/journal.pone.0233473,S,TRUE,D,Y,LE,Sus,scrofa,T,N,Y,N,NA,"Bosch, J; Barasona, JA; Cadenas-Fernandez, E; Jurado, C; Pintore, A; Denurra, D; Cherchi, M; Vicente, J; Sanchez-Vizcaino, JM",Retrospective spatial analysis for African swine fever in endemic areas to assess interactions between susceptible host populations,PLOS ONE,2020,15,5,10.1371/journal.pone.0233473,J,mfc,NA,TRUE
mfc,nicholson2016,doi.org/10.1371/journal.pone.0150333,S,TRUE,W,N,L,Rangifer,tarandus,T,N,Y,Y,NA,"Nicholson, KL; Arthur, SM; Horne, JS; Garton, EO; Del Vecchio, PA",Modeling Caribou Movements: Seasonal Ranges and Migration Routes of the Central Arctic Herd,PLOS ONE,2016,11,4,10.1371/journal.pone.0150333,J,mfc,NA,TRUE
mfc,bjorneraas2012,doi.org/10.1007/s00442-011-2072-3,S,TRUE,W,Y,L,Alces,alces,T,N,N,N,NA,"Bjorneraas, K; Herfindal, I; Solberg, EJ; Sther, BE; van Moorter, B; Rolandsen, CM","Habitat quality influences population distribution, individual space use and functional responses in habitat selection by a large herbivore",OECOLOGIA,2012,168,1,10.1007/s00442-011-2072-3,J,mfc,NA,TRUE
mfc,isojunno2015,doi.org/10.1890/ES14-00130.1,S,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reused data from Teloni et al (2008) and Miller et al (2012),"Isojunno, S; Miller, PJO",Sperm whale response to tag boat presence: biologically informed hidden state models quantify lost feeding opportunities,ECOSPHERE,2015,6,1,10.1890/ES14-00130.1,J,mfc,NA,TRUE
mfc,selva2017,doi.org/10.1016/j.baae.2017.09.007,S,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Bear data was provided by the Institute of Nature Conservation from past projects""","Selva, N; Teitelbaum, CS; Sergiel, A; Zwijacz-Kozica, T; Zieba, F; Bojarska, K; Mueller, T",Supplementary ungulate feeding affects movement behavior of brown bears,BASIC AND APPLIED ECOLOGY,2017,24,NA,10.1016/j.baae.2017.09.007,J,mfc,NA,TRUE
